 warn --- config file  - /opt/bambooagent/xml-data/temporary-repositories/maintenance/hybris/bin/modules/npm-ancillary/npmancillary/resources/npm/verdaccio/config_offline.yaml
 warn --- Verdaccio started
 warn --- http address - http://localhost:4873/ - verdaccio/4.12.0
 http <-- 200, user: null(127.0.0.1), req: 'GET /inflight', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /inherits', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /minimatch', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /once', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /path-is-absolute', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /agent-base', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /debug', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ansi-escapes', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /chalk', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cli-cursor', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cli-width', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /external-editor', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /figures', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /mute-stream', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /run-async', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /rxjs', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /string-width', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /strip-ansi', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /through', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /argparse', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /esprima', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /lie', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /pako', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /readable-stream', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /set-immediate-shim', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /whatwg-url', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /hosted-git-info', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /osenv', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /validate-npm-package-name', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /ignore-walk', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /npm-bundled', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /npm-normalize-package-bin', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /debuglog', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /dezalgo', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /read-package-json', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /readdir-scoped-modules', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /path-parse', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /minipass', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /chownr', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fs-minipass', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /minipass', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /minizlib', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /mkdirp', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /yallist', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fast-glob', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /load-json-file', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /normalize-package-data', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@pnpm%2fwrite-project-manifest', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /detect-indent', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /fast-deep-equal', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /graceful-fs', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /json5', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /parse-json', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /read-yaml-file', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /sort-keys', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /strip-bom', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /cmd-extension', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /better-path-resolve', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /any-promise', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /object-assign', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /thenify-all', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /p-limit', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /p-reflect', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nodelib%2ffs.stat', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@nodelib%2ffs.walk', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /glob-parent', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /merge2', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /micromatch', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /type-fest', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-core-module', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /validate-npm-package-license', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /write-file-atomic', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /write-yaml-file', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@babel%2fcode-frame', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /error-ex', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /json-parse-even-better-errors', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /lines-and-columns', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-plain-obj', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /imurmurhash', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /is-typedarray', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /signal-exit', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /typedarray-to-buffer', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jsonfile', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /universalify', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /lodash.get', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /lodash.isequal', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /validator', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /commander', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-http', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-tracing', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2flogger', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@opentelemetry%2ftypes', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /events', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /jws', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /msal', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /qs', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /tslib', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /uuid', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fabort-controller', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-http', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-lro', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-paging', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-tracing', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@opentelemetry%2fapi', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /tslib', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-asynciterator-polyfill', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@azure%2fcore-auth', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /@types%2ftunnel', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /form-data', bytes: 0/0
 http <-- 200, user: null(127.0.0.1), req: 'GET /process', bytes: 0/0
